"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"210901038";"Помещение";"78:34:0410903";38,6;"Договор купли-продажи";"10.2016";"10.2016";965431,00;25011,17;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Серебристый";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6478603341
"55841042";"Помещение";"78:31:0001051";101,1;"Договор купли-продажи";"10.2016";"10.2016";1680000,00;16617,21;"26/75";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298566000";"Г.Санкт-Петербург";;;;"Разъезжая";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6478603344
"101049036";"Помещение";"78:13:0007417";74;"Договор купли-продажи";"10.2016";"10.2016";2700000,00;36486,49;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Софийская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6478603352
"212188000";"Помещение";"78:12:0007203";36,3;"Договор купли-продажи";"10.2016";"10.2016";1100000,00;30303,03;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285564000";"Г.Санкт-Петербург";;;;"Рыбацкий";"16";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6478603355
"101061038";"Помещение";"78:34:0004103";59,4;"Договор купли-продажи";"10.2016";"10.2016";2800000,00;47138,05;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Серебристый";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6478603360
"126795037";"Помещение";"78:10:0005535";53,8;"Договор купли-продажи";"10.2016";"10.2016";2008000,00;37323,42;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Просвещения";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6478603361
"136895040";"Помещение";"78:12:0006314";54,4;"Договор купли-продажи";"10.2016";"11.2016";1985000,00;36488,97;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Подвойского";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6478603372
"152419040";"Помещение";"78:12:0006304";62,4;"Договор купли-продажи";"10.2016";"10.2016";2498773,00;40044,44;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Большевиков";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6478603380
"10996809039";"Помещение";"78:36:0013101";42,2;"Договор купли-продажи";"10.2016";"10.2016";3500000,00;82938,39;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;"Парголово";"Михаила Дудина";"15";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6478603383
"61734036";"Помещение";"78:13:0007448";70,7;"Договор купли-продажи";"09.2016";"10.2016";2000000,00;28288,54;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40296565000";"Г.Санкт-Петербург";;;;"Малая Карпатская";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6478603390
"101235391004";"Помещение";"78:38:0011502";143,2;"Договор купли-продажи";"09.2016";"10.2016";4940400,00;34500,00;;"Нежилое помещение";;;;"Ипотека";;"Нежилое помещение";"40281520000";"Г.Санкт-Петербург";;"Сестрорецк";;;"7";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6478603392
"36114041";"Помещение";"78:15:0008103";31,1;"Договор купли-продажи";"10.2016";"10.2016";1700000,00;54662,38;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40276567000";"Г.Санкт-Петербург";;;;"Двинская";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6478603401
"10348092034";"Помещение";"78:14:0007556";41,6;"Договор купли-продажи";"10.2016";"10.2016";2549100,00;61276,44;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Костюшко";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6478603405
"169898040";"Помещение";"78:12:0006314";45,9;"Договор купли-продажи";"10.2016";"11.2016";1400000,00;30501,09;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солидарности";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6478603406
"146570036";"Помещение";"78:13:0007410";44,9;"Договор купли-продажи";"10.2016";"10.2016";600000,00;13363,03;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"3";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6478603414
"11595856040";"Помещение";"78:12:0006355";44,5;"Договор купли-продажи";"10.2016";"10.2016";2800000,00;62921,35;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6478603415
"113268034";"Помещение";"78:42:0018501";43,6;"Договор купли-продажи";"10.2016";"11.2016";1300000,00;29816,51;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Пулковское";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6478603430
"10597264038";"Помещение";"78:34:0415902";41,8;"Договор купли-продажи";"10.2016";"10.2016";1500000,00;35885,17;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Лыжный";"19";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6478603442
"111127040";"Помещение";"78:12:0006341";45,7;"Договор купли-продажи";"10.2016";"10.2016";1150000,00;25164,11;"2/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40285565000";"Г.Санкт-Петербург";;;;"Народная";"5";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6478603449
"153403037";"Помещение";"78:10:0005544";44,7;"Договор купли-продажи";"09.2016";"10.2016";1126026,00;25190,74;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40273567000";"Г.Санкт-Петербург";;;;"Тимуровская";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6478603454
"74100032";"Помещение";"78:11:0006113";38,8;"Договор купли-продажи";"06.2016";"07.2016";2695000,00;69458,76;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ириновский";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6478603461
"40385004";"Помещение";"78:38:1112805";31,2;"Договор купли-продажи";"10.2016";"10.2016";1958000,00;62756,41;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40281520000";"Г.Санкт-Петербург";;"Сестрорецк";;"Дубковское";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6478603466
"152657038";"Помещение";"78:34:0413201";80,7;"Договор купли-продажи";"10.2016";"10.2016";5260000,00;65179,68;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Камышовая";"7";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6478603475
"122727040";"Помещение";"78:12:0007116";73,1;"Договор купли-продажи";"10.2016";"10.2016";2325000,00;31805,75;"30/56";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6478603480
"10554037038";"Помещение";"78:34:0415601";31,7;"Договор купли-продажи";"09.2016";"10.2016";2000000,00;63091,48;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Туристская";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6478603482
"137376036";"Помещение";"78:13:0007406";59;"Договор купли-продажи";"10.2016";"10.2016";3899000,00;66084,75;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6478603495
"207250040";"Помещение";"78:12:0006307";84,9;"Договор купли-продажи";"10.2016";"10.2016";1600000,00;18845,70;"18/48";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Искровский";"14";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6478603502
"115055036";"Помещение";"78:13:0007408";64,3;"Договор купли-продажи";"10.2016";"10.2016";4129000,00;64214,62;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Турку";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6478603516
"93725041";"Помещение";"78:15:0843302";32,3;"Договор купли-продажи";"09.2016";"10.2016";800000,00;24767,80;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солдата Корзуна";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6478603521
"11045309039";"Помещение";"78:36:0013101";58,6;"Договор купли-продажи";"10.2016";"10.2016";3914000,00;66791,81;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;"Парголово";"Михаила Дудина";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6478603522
"24198000";"Помещение";"78:42:0015106";35,7;"Договор купли-продажи";"10.2016";"10.2016";2240000,00;62745,10;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Новгородский";"15";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6478603523
"59744035";"Помещение";"78:40:0008319";53,9;"Договор купли-продажи";"10.2016";"10.2016";1900000,00;35250,46;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ленинский";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6478603528
"188421038";"Помещение";"78:34:0412601";52,3;"Договор купли-продажи";"10.2016";"10.2016";4207500,00;80449,33;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Комендантский";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6478603529
"121606034";"Помещение";"78:14:0007703";28,8;"Договор купли-продажи";"10.2016";"10.2016";2400000,00;83333,33;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40284564000";"Г.Санкт-Петербург";;;;"Штурманская";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6478603531
"65048030";"Помещение";"78:32:0001670";50,7;"Договор купли-продажи";"10.2016";"10.2016";300000,00;5917,16;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40262565000";"Г.Санкт-Петербург";;;;"4-я Красноармейская";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6478603552
"75260034";"Помещение";"78:14:0007621";90,4;"Договор купли-продажи";"10.2016";"10.2016";3900000,00;43141,59;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Благодатная";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6478603556
"63188002";"Помещение";"78:37:0017114";71,4;"Договор купли-продажи";"10.2016";"10.2016";1300000,00;18207,28;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Раумская";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6478603560
"34079031";"Здание";"78:07:0003189";41,3;"Договор купли-продажи";"10.2016";"10.2016";1781146155,00;43127025,54;;"Нежилое помещение";;"1";;"Ипотека";;" здание";"40288565000";"Г.Санкт-Петербург";;;;"Петровский";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6478603563
"146570036";"Помещение";"78:13:0007410";44,9;"Договор купли-продажи";"10.2016";"10.2016";600000,00;13363,03;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"3";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6478603566
"10189601006";"Помещение";"78:42:0018304";56,2;"Договор купли-продажи";"10.2016";"10.2016";3360000,00;59786,48;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Ростовская (Славянка)";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6478603567
"84517040";"Помещение";"78:12:0714001";80,1;"Договор купли-продажи";"10.2016";"10.2016";3000000,00;37453,18;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285562000";"Г.Санкт-Петербург";;;;"Ивановская";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6478603569
"210901038";"Помещение";"78:34:0410903";38,6;"Договор купли-продажи";"10.2016";"10.2016";2000000,00;51813,47;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Серебристый";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6478603573
"72759041";"Помещение";"78:15:0008301";43,7;"Договор купли-продажи";"10.2014";"11.2016";850000,00;19450,80;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Казакова";"8";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6478603578
"120175032";"Помещение";"78:11:0006112";33,6;"Договор купли-продажи";"05.2016";"06.2016";2550000,00;75892,86;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40278564000";"Г.Санкт-Петербург";;;;"Передовиков";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6478603589
"73266037";"Помещение";"78:10:0005170";45,7;"Договор купли-продажи";"10.2016";"10.2016";2648916,80;57963,17;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Замшина";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6478603594
"127619035";"Помещение";"78:40:0008312";44;"Договор купли-продажи";"10.2016";"10.2016";960000,00;21818,18;"1/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6478603602
"348944000";"Помещение";"78:40:0008339";63,6;"Договор купли-продажи";"09.2016";"10.2016";1887000,00;29669,81;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"8";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6478603617
"36157006";"Помещение";"78:42:0018103";43,5;"Договор купли-продажи";"10.2016";"10.2016";2000000,00;45977,01;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Железнодорожная";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6478603623
"43091037";"Помещение";"78:10:0522301";36,8;"Договор купли-продажи";"10.2016";"10.2016";2640000,00;71739,13;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Верности";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6478603627
"190801038";"Помещение";"78:34:0004230";35,5;"Договор купли-продажи";"10.2016";"10.2016";375722,70;10583,74;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270567000";"Г.Санкт-Петербург";;;"Ленинград";"Афанасьевская";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6478603644
"244660038";"Помещение";"78:34:0004162";68;"Договор купли-продажи";"09.2016";"10.2016";4200000,00;61764,71;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Савушкина";"14";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6478603652
"10449388030";"Помещение";"78:32:0007503";126,1;"Договор купли-продажи";"11.2015";"01.2016";5832000,00;46249,01;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Обводного канала";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6478603670
