"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"148097036";"Помещение";"78:13:0007410";44,7;"Договор купли-продажи";"03.2017";"03.2017";1900000,00;42505,59;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6488298919
"73935038";"Помещение";"78:34:0413701";52,2;"Договор купли-продажи";"03.2017";"03.2017";750000,00;14367,82;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Планерная";"6";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6488298925
"10306561035";"Помещение";"78:40:0008339";41,2;"Договор купли-продажи";"03.2017";"03.2017";1100000,00;26699,03;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488298928
"10307298034";"Помещение";"78:14:0007693";65,8;"Договор купли-продажи";"03.2017";"03.2017";4000000,00;60790,27;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488298933
"144445037";"Помещение";"78:10:0005217";50,6;"Договор купли-продажи";"03.2017";"03.2017";3920000,00;77470,36;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Софьи Ковалевской";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6488298934
"471441000";"Помещение";"78:14:0007610";49,7;"Договор купли-продажи";"03.2017";"03.2017";5200000,00;104627,77;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Варшавская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488298939
"10350023035";"Здание";"78:40:0905018";1471,2;"Договор купли-продажи";"12.2016";"03.2017";23000000,00;15633,50;;"Нежилое помещение";;"1";;"Ипотека";;"Здание";"40279501000";"Г.Санкт-Петербург";;"Красное Село";;"Кингисеппское";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6488298943
"139450000";"Помещение";"78:34:0004366";37,9;"Договор купли-продажи";"12.2016";"03.2017";1959000,00;51688,65;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488298948
"48375042";"Помещение";"78:31:0001126";102,1;"Договор купли-продажи";"03.2017";"03.2017";5160000,00;50538,69;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Некрасова";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6488298949
"97431041";"Помещение";"78:15:0008301";64,6;"Договор купли-продажи";"10.2008";"03.2017";4000000,00;61919,50;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6488298955
"101520038";"Помещение";"78:34:0410301";60,2;"Договор купли-продажи";"03.2017";"03.2017";3640000,00;60465,12;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Серебристый";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6488298961
"87015036";"Помещение";"78:13:0741401";64,2;"Договор купли-продажи";"03.2017";"03.2017";1575000,00;24532,71;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Славы";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6488298969
"146327032";"Помещение";"78:11:0006107";211,5;"Договор купли-продажи";"02.2017";"03.2017";950000,00;4491,73;"10/129";"Жилое помещение";;;;"Ипотека";;"Квартира";"40278564000";"Г.Санкт-Петербург";;;;"Ленская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6488298971
"175401038";"Помещение";"78:34:0410902";43,8;"Договор купли-продажи";"03.2009";"03.2017";1081000,00;24680,37;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Котельникова";"1";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6488298973
"64840033";"Помещение";"78:06:0002078";101,6;"Договор купли-продажи";"02.2017";"02.2017";400000,00;3937,01;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"18-я В.О.";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6488298980
"50008033";"Помещение";"78:06:0002014";93,8;"Договор купли-продажи";"03.2017";"03.2017";600000,00;6396,59;"22/67";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"1-я В.О.";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6488298984
"59488000";"Помещение";"78:31:0151502";68,4;"Договор купли-продажи";"02.2016";"02.2016";5000000,00;73099,42;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40298565000";"Г.Санкт-Петербург";;;;"Кременчугская";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6488298989
"155651000";"Помещение";"78:14:0007686";33,3;"Договор купли-продажи";"03.2017";"03.2017";3180000,00;95495,50;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"7";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488298990
"44092036";"Помещение";"78:13:0007422";44,5;"Договор купли-продажи";"03.2017";"03.2017";3000000,00;67415,73;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Димитрова";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6488299007
"82763037";"Помещение";"78:10:0005217";31,5;"Договор купли-продажи";"03.2017";"03.2017";2320000,00;73650,79;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Карпинского";"6";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6488299011
"88629042";"Помещение";"78:31:0151503";91,7;"Договор купли-продажи";"03.2017";"03.2017";1360000,00;14830,97;"18/60";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298565000";"Г.Санкт-Петербург";;;;"Гончарная";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6488299015
"29180033";"Помещение";"78:06:0002208";43,8;"Договор купли-продажи";"03.2017";"03.2017";2000000,00;45662,10;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40263563000";"Г.Санкт-Петербург";;;;"Гаванская";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6488299035
"180948036";"Помещение";"78:13:0741501";42,7;"Договор купли-продажи";"12.2015";"01.2016";600000,00;14051,52;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40296564000";"Г.Санкт-Петербург";;;;"Альпийский";"5";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488299040
