"Номер объекта","Вид объекта недвижимости","Кадастровый квартал","Площадь, кв.м.","Тип сделки","Дата сделки","Дата регистрации/ предложения","Цена сделки/ предложения, руб.","Удельная цена сделки/ предложения, руб./кв.м.","Доля в праве на объект недвижимости","Назначение/Категория земель","Разрешенное использование","Количество надземных этажей","Подземная этажность","Ограничения (обременения) вещных прав","Жилая площадь, кв.м.","Наименование","ОКАТО","Субъект","Район","Город","Населенный пункт","Улица","Номер  этажа","Количество объектов в сделке","Источник данных","Организация","Материал наружных стен","Год ввода в эксплуатацию","Год завершения строительства","Вид жилого помещения в многоквартирном доме","Тип информации","Идентификатор записи"
"75657040","Помещение","78:12:0631202",29,"Договор купли-продажи","02.2013","03.2013",1000000,00,34482,76,"1/2","Жилое помещение",,,,"Без обременения",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Дыбенко","7",1,"Из учетных систем Росреестра","Росреестр","Не указан","2011","Не указан","Не указан","Сделка",6454103287
"29877041","Помещение","78:15:0008214",53,"Договор купли-продажи","02.2013","03.2013",4700000,00,88679,25,"1/3","Жилое помещение",,,,"Без обременения",,"Квартира","40276564000","Г.Санкт-Петербург",,,,"Возрождения","4",2,"Из учетных систем Росреестра","Росреестр","Не указан","1998","Не указан","Не указан","Сделка",6454103296
"53919006","Помещение","78:42:0018101",61,7,"Договор купли-продажи","02.2013","03.2013",2500000,00,40518,64,,"Жилое помещение",,,,"Ипотека",39,2,"Квартира","40294501000","Г.Санкт-Петербург",,"Пушкин",,"Генерала Хазова","3",2,"Из учетных систем Росреестра","Росреестр","Не указан","2006","Не указан","Не указан","Сделка",6454106315
"10399656036","Помещение","78:13:0007417",76,5,"Договор купли-продажи","10.2013","11.2013",2500000,00,32679,74,,"Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Софийская","7",2,"Из учетных систем Росреестра","Росреестр","Не указан","2012","Не указан","Не указан","Сделка",6454106351
"47344041","Помещение","78:15:0008057",112,"Договор купли-продажи","02.2013","03.2013",950000,00,8482,14,"23/72","Жилое помещение",,,,"Ипотека",,"Квартира","40276565000","Г.Санкт-Петербург",,,"Ленинград","Балтийская","2",1,"Из учетных систем Росреестра","Росреестр","Не указан","1999","Не указан","Не указан","Сделка",6454106405
"10610218038","Помещение","78:34:0415601",31,9,"Договор купли-продажи","09.2013","09.2013",1700000,00,53291,54,,"Жилое помещение",,,,"Ипотека",,"квартира","40270562000","Г.Санкт-Петербург",,,,"Туристская","5",1,"Из учетных систем Росреестра","Росреестр","Не указан","2013","Не указан","Не указан","Сделка",6454106478
"79942041","Помещение","78:15:0008405",41,9,"Договор купли-продажи","01.2013","01.2013",3350000,00,79952,27,,"Жилое помещение",,,,"Без обременения",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Народного Ополчения","8",1,"Из учетных систем Росреестра","Росреестр","Не указан","2006","Не указан","Не указан","Сделка",6454106492
"10415395035","Помещение","78:40:0008391",49,8,"Договор купли-продажи","08.2013","08.2013",2800000,00,56224,90,,"Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,,"7",1,"Из учетных систем Росреестра","Росреестр","Не указан","2013","Не указан","Не указан","Сделка",6454106517
"113000042","Помещение","78:31:0001696",133,7,"Договор купли-продажи","02.2013","02.2013",1990000,00,14884,07,"13/97","Жилое помещение",,,,"Без обременения",97,1,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Марата","3",2,"Из учетных систем Росреестра","Росреестр","Не указан","2002","Не указан","Не указан","Сделка",6454106525
"230510038","Помещение","78:34:0004165",41,4,"Договор купли-продажи","02.2013","03.2013",2500000,00,60386,47,,"Жилое помещение",,,,"Без обременения",20,1,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Савушкина","9",1,"Из учетных систем Росреестра","Росреестр","Не указан","2005","Не указан","Не указан","Сделка",6454106545
"10328814035","Помещение","78:40:0008341",41,1,"Договор купли-продажи","12.2012","01.2013",2800000,00,68126,52,,"Жилое помещение",,,,"Ипотека",,"Квартира","40000000000","Г.Санкт-Петербург",,,,"Ленинский","13",1,"Из учетных систем Росреестра","Росреестр","Не указан","2011","Не указан","Не указан","Сделка",6454106620
