"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"83834034";"Помещение";"78:14:0007683";68,3;"Договор купли-продажи";"03.2017";"03.2017";1300000,00;19033,68;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6488304492
"512367000";"Помещение";"78:11:0006161";53,6;"Договор купли-продажи";"01.2017";"03.2017";1500000,00;27985,07;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ириновский";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304494
"224006040";"Помещение";"78:12:0631901";136,1;"Договор купли-продажи";"02.2016";"02.2016";3000000,00;22042,62;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285569000";"Г.Санкт-Петербург";;;"Ленинград";"Бадаева";"16";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488304500
"138961038";"Помещение";"78:34:0410903";45,6;"Договор купли-продажи";"03.2017";"03.2017";1114000,00;24429,82;"13/26";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Королёва";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6488304505
"97828032";"Помещение";"78:11:0006103";45,3;"Договор купли-продажи";"03.2017";"03.2017";1850000,00;40838,85;"2/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40278564000";"Г.Санкт-Петербург";;;;"Ленская";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6488304507
"438562000";"Помещение";"78:34:0004158";23,2;"Договор купли-продажи";"03.2017";"03.2017";2010000,00;86637,93;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Оптиков";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304508
"138973000";"Помещение";"78:34:0004366";67,7;"Договор купли-продажи";"12.2016";"03.2017";2315000,00;34194,98;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304509
"119621000";"Помещение";"78:06:0002059";88,4;"Договор купли-продажи";"02.2017";"03.2017";4980000,00;56334,84;"2/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Реки Смоленки";"7";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304519
"336396000";"Помещение";"78:42:0015106";89,3;"Договор купли-продажи";"03.2017";"03.2017";1800000,00;20156,77;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Вишерская";"17";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304523
"159289040";"Помещение";"78:12:0006342";45,9;"Договор купли-продажи";"03.2017";"03.2017";800000,00;17429,19;"8/32";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Большевиков";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6488304527
"61923031";"Помещение";"78:07:0003167";105,8;"Договор купли-продажи";"02.2017";"03.2017";1050000,00;9924,39;"253/1354";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Чкаловский";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6488304529
"488897000";"Помещение";"78:07:0003170";38,1;"Договор купли-продажи";"03.2017";"03.2017";4450000,00;116797,90;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304530
"462320000";"Помещение";"78:14:0007691";64,5;"Договор купли-продажи";"02.2017";"03.2017";5728788,00;88818,42;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"14";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488304532
"10246545006";"Помещение";"78:42:0018304";85,4;"Договор купли-продажи";"03.2017";"03.2017";3811000,00;44625,29;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Ростовская (Славянка)";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6488304534
