"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"11847680038";"Помещение";"78:34:0410802";59,4;"Договор купли-продажи";"11.2015";"01.2016";4500000,00;75757,58;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Фермское";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6477972748
"50478031";"Помещение";"78:07:0314302";128,3;"Договор купли-продажи";"07.2016";"08.2016";1096000,00;8542,48;"119/746";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Пионерская";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6477972757
"174716040";"Помещение";"78:12:0006314";77,3;"Договор купли-продажи";"06.2016";"06.2016";1800000,00;23285,90;"27/110";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солидарности";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6477972810
"18274006";"Земельный участок";"78:42:1812202";463;"Договор купли-продажи";"01.2016";"01.2016";3700000,00;7991,36;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"40294501000";"Г.Санкт-Петербург";;"Пушкин";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6477972935
"32699041";"Помещение";"78:15:0844002";60,3;"Договор купли-продажи";"08.2016";"08.2016";2000000,00;33167,50;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40276562000";"Г.Санкт-Петербург";;;;"Генерала Симоняка";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6477973031
"65015042";"Помещение";"78:31:0001430";126,9;"Договор купли-продажи";"02.2016";"03.2016";950000,00;7486,21;"12/90";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298564000";"Г.Санкт-Петербург";;;;"10-я Советская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6477973303
"11596200040";"Помещение";"78:12:0006355";26,3;"Договор купли-продажи";"12.2015";"01.2016";1920000,00;73003,80;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"23";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6477973369
"95178032";"Помещение";"78:11:0006105";73,8;"Договор купли-продажи";"06.2016";"06.2016";856000,00;11598,92;"9/98";"Жилое помещение";;;;"Ипотека";;"Квартира";"40278564000";"Г.Санкт-Петербург";;;;"Ленская";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6477973438
"10459530006";"Помещение";"78:42:0018238";72;"Договор купли-продажи";"04.2016";"05.2016";3500000,00;48611,11;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Госпитальный";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6477973451
"178525036";"Помещение";"78:13:0007416";39,4;"Договор купли-продажи";"03.2016";"04.2016";1800000,00;45685,28;;"Жилое помещение";;;;"Ипотека";17,7;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Славы";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6477973496
"347551000";"Земельный участок";"78:34:0428601";36959;"Договор купли-продажи";"09.2016";"09.2016";2000000000,00;54114,02;;"Земли населенных пунктов";;;;"Ипотека";;;"40270566000";"Г.Санкт-Петербург";;;;"Глухарская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6477973507
"106117040";"Помещение";"78:12:0714001";92,5;"Договор купли-продажи";"08.2016";"08.2016";4200000,00;45405,41;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Бабушкина";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6477973606
"10020110030";"Помещение";"78:32:0001667";74,5;"Договор купли-продажи";"10.2016";"10.2016";1650000,00;22147,65;"11/42";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262565000";"Г.Санкт-Петербург";;;;"Измайловский";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6477973608
"69346030";"Помещение";"78:32:0001157";148,5;"Договор купли-продажи";"08.2016";"08.2016";5425000,00;36531,99;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262561000";"Г.Санкт-Петербург";;;;"Английский";"этаж мансардный";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6477973655
"47434042";"Помещение";"78:31:0151503";119,9;"Договор купли-продажи";"01.2016";"02.2016";1000000,00;8340,28;"10/80";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298565000";"Г.Санкт-Петербург";;;;"Гончарная";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6477973690
"111452032";"Помещение";"78:11:0006148";44,8;"Договор купли-продажи";"09.2016";"09.2016";500000,00;11160,71;"1/10";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Наставников";"11";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6477973823
"79936036";"Помещение";"78:13:0007437";62,6;"Договор купли-продажи";"03.2016";"03.2016";1600000,00;25559,11;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Олеко Дундича";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6477973844
