"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"115466000";"Помещение";"78:11:0005608";61,1;"Договор купли-продажи";"04.2016";"04.2016";1000630,00;16376,92;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"13";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6471350741
"50855034";"Помещение";"78:14:0007553";48,1;"Договор купли-продажи";"04.2016";"04.2016";3100000,00;64449,06;"1/2";"Жилое помещение";;;;"Ипотека";36,4;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Костюшко";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6471350756
"67177038";"Помещение";"78:34:0004003";57,5;"Договор купли-продажи";"03.2016";"04.2016";2690000,00;46782,61;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270563000";"Г.Санкт-Петербург";;;;"Новосибирская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6471350811
"68725032";"Помещение";"78:11:0006103";72,6;"Договор купли-продажи";"04.2016";"04.2016";1700000,00;23415,98;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Индустриальный";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6471350882
"11598872040";"Помещение";"78:12:0006355";48,7;"Договор купли-продажи";"04.2016";"04.2016";3310000,00;67967,15;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"22";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6471350918
"11369222039";"Помещение";"78:36:0000000";37,5;"Договор купли-продажи";"04.2016";"04.2016";1000000,00;26666,67;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;;"Николая Рубцова";"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6471350925
"696463039";"Помещение";"78:36:0005116";72,2;"Договор купли-продажи";"03.2016";"04.2016";1930000,00;26731,30;;"Жилое помещение";;;;"Ипотека";48,6;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Лесной";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6471350931
"88175040";"Помещение";"78:12:0006310";45,6;"Договор купли-продажи";"12.2015";"01.2016";700000,00;15350,88;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Коллонтай";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6471350937
"11107746038";"Помещение";"78:34:0410802";58,1;"Договор купли-продажи";"04.2016";"04.2016";7600000,00;130808,95;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6471350942
"734227039";"Помещение";"78:36:0005357";153,2;"Договор купли-продажи";"04.2016";"04.2016";5000000,00;32637,08;;"Жилое помещение";;;;"Ипотека";83,8;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Энгельса";"17";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6471351003
