"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"10252536006";"Помещение";"78:42:0018304";79,5;"Договор купли-продажи";"02.2017";"02.2017";1200000,00;15094,34;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Колпинское";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6486975975
"11596384040";"Помещение";"78:12:0006355";35,1;"Договор купли-продажи";"01.2017";"02.2017";2468000,00;70313,39;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"17";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6486975998
"75461002";"Помещение";"78:37:0017413";33,2;"Договор купли-продажи";"01.2017";"02.2017";2000000,00;60240,96;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40277551000";"Г.Санкт-Петербург";;;"Металлострой";"Богайчука";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6486975999
"529985000";"Помещение";"78:14:0007517";71,2;"Договор купли-продажи";"01.2017";"02.2017";700000,00;9831,46;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40284561000";"Г.Санкт-Петербург";;;;"Заставская";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486976000
"77690005";"Помещение";"78:40:2052902";104,1;"Договор купли-продажи";"01.2017";"02.2017";3594000,00;34524,50;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40290502000";"Г.Санкт-Петербург";;"Ломоносов";;"Александровская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6486976003
"71288030";"Помещение";"78:32:0001074";243,7;"Договор купли-продажи";"01.2017";"02.2017";1000000,00;4103,41;"27/173";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262561000";"Г.Санкт-Петербург";;;;"Лабутина";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6486976009
"10427043036";"Помещение";"78:13:0741201";66,3;"Договор купли-продажи";"01.2017";"02.2017";4205000,00;63423,83;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Белы Куна";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6486976012
"59234040";"Помещение";"78:12:0007208";68,6;"Договор купли-продажи";"05.2016";"06.2016";1600000,00;23323,62;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40285564000";"Г.Санкт-Петербург";;;;"Прибрежная";"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6486976019
"153361037";"Помещение";"78:10:0005544";60,1;"Договор купли-продажи";"02.2017";"02.2017";970000,00;16139,77;"12/43";"Жилое помещение";;;;"Ипотека";;"Квартира";"40273567000";"Г.Санкт-Петербург";;;;"Тимуровская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6486976023
"11411700035";"Помещение";"78:40:0008479";35,4;"Договор купли-продажи";"04.2016";"04.2016";2600000,00;73446,33;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Лётчика Пилютова";"13";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6486976035
"11595574040";"Помещение";"78:12:0006355";56,7;"Договор купли-продажи";"01.2017";"02.2017";3467000,00;61146,38;;"Жилое помещение";;;;"Ипотека";;"квартира";"40000000000";"Г.Санкт-Петербург";;;;;"19";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6486976044
"112547040";"Помещение";"78:12:0006344";45,4;"Договор купли-продажи";"01.2017";"02.2017";3333026,00;73414,67;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285565000";"Г.Санкт-Петербург";;;;"Народная";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6486976045
"50038002";"Помещение";"78:37:1711201";78,6;"Договор купли-продажи";"12.2016";"12.2016";1700000,00;21628,50;"15/56";"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Машиностроителей";"1";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6486976051
"178831035";"Помещение";"78:40:0008341";92,2;"Договор купли-продажи";"01.2017";"02.2017";500000,00;5422,99;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"14";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6486976054
"55999037";"Помещение";"78:10:0005209";61,5;"Договор купли-продажи";"01.2017";"02.2017";4800000,00;78048,78;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Гражданский";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6486976072
"161541035";"Помещение";"78:40:0008319";64,3;"Договор купли-продажи";"01.2017";"02.2017";1000000,00;15552,10;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ленинский";"13";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6486976073
"417546000";"Помещение";"78:10:0005125";63,1;"Договор купли-продажи";"01.2017";"02.2017";1000000,00;15847,86;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486976075
"125450041";"Помещение";"78:15:0008207";41,4;"Договор купли-продажи";"12.2016";"02.2017";880000,00;21256,04;"1/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6486976076
"74161037";"Помещение";"78:10:0005138";37;"Договор купли-продажи";"01.2017";"02.2017";2346000,00;63405,41;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Замшина";"16";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6486976077
"161710035";"Помещение";"78:40:0008480";36,6;"Договор купли-продажи";"01.2017";"02.2017";2550000,00;69672,13;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Пограничника Гарькавого";"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6486976089
"122263040";"Помещение";"78:12:0007117";106,9;"Договор купли-продажи";"01.2017";"02.2017";700000,00;6548,18;"15/61";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6486976092
"73948035";"Помещение";"78:40:0008307";66,7;"Договор купли-продажи";"12.2016";"02.2017";2800000,00;41979,01;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6486976093
"48154032";"Помещение";"78:11:0006078";45,2;"Договор купли-продажи";"01.2017";"02.2017";3365139,00;74449,98;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Энергетиков";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6486976097
"46278041";"Помещение";"78:15:0008207";41,4;"Договор купли-продажи";"01.2017";"02.2017";3317626,00;80135,89;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Краснопутиловская";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6486976100
"477039000";"Помещение";"78:40:0008339";69,9;"Договор купли-продажи";"12.2016";"02.2017";4656612,00;66618,20;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40279562000";"Г.Санкт-Петербург";;;;;"6";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486976103
"41873030";"Помещение";"78:32:0001713";128,8;"Договор купли-продажи";"01.2017";"02.2017";800000,00;6211,18;"19/80";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262564000";"Г.Санкт-Петербург";;;;"Серпуховская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6486976104
"345732000";"Помещение";"78:31:0151502";36,9;"Договор купли-продажи";"01.2017";"02.2017";3000000,00;81300,81;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40298565000";"Г.Санкт-Петербург";;;;"Кременчугская";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486976106
"140834040";"Помещение";"78:12:0006319";677,7;"Договор купли-продажи";"01.2017";"02.2017";6000000,00;8853,48;;"Нежилое помещение";;;;"Ипотека";;"магазин";"40285569000";"Г.Санкт-Петербург";;;;"Пятилеток";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6486976112
"10232213006";"Помещение";"78:42:0018304";123,6;"Договор купли-продажи";"01.2017";"02.2017";1100000,00;8899,68;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Колпинское";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6486976118
"10564136006";"Помещение";"78:42:1832202";41;"Договор купли-продажи";"01.2017";"02.2017";1200000,00;29268,29;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Московское";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6486976126
"167099040";"Помещение";"78:12:0007145";36,6;"Договор купли-продажи";"01.2017";"02.2017";2540000,00;69398,91;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Седова";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6486976134
"109105041";"Помещение";"78:15:0844101";42,3;"Договор купли-продажи";"01.2017";"02.2017";2600000,00;61465,72;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40276562000";"Г.Санкт-Петербург";;;;"Стойкости";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6486976147
