"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"174591038";"Помещение";"78:34:0410902";64,2;"Договор купли-продажи";"06.2016";"07.2016";4000000,00;62305,30;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Котельникова";"8";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6474068679
"10312966006";"Помещение";"78:42:1832202";78,1;"Договор купли-продажи";"06.2016";"07.2016";2200000,00;28169,01;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";;"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6474068698
"155095040";"Помещение";"78:12:0006302";44,9;"Договор купли-продажи";"07.2016";"07.2016";2450000,00;54565,70;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Большевиков";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6474068718
"118953000";"Помещение";"78:34:0004366";42,5;"Договор купли-продажи";"06.2016";"07.2016";2571000,00;60494,12;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6474068719
"12049000";"Помещение";"78:34:0415902";42,7;"Договор купли-продажи";"06.2016";"07.2016";3000000,00;70257,61;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"21";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6474068723
"118953000";"Помещение";"78:34:0004366";42,5;"Договор купли-продажи";"02.2016";"02.2016";2571000,00;60494,12;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6474068727
"132965041";"Помещение";"78:15:0008409";32,3;"Договор купли-продажи";"01.2014";"07.2016";2500000,00;77399,38;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дачный";"13";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6474068730
"212181037";"Помещение";"78:10:0521801";72,1;"Договор купли-продажи";"07.2016";"07.2016";3550000,00;49237,17;;"Жилое помещение";;;;"Ипотека";46,1;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Верности";"1";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6474068734
"10595406038";"Помещение";"78:34:0415601";34,7;"Договор купли-продажи";"06.2016";"07.2016";1874411,33;54017,62;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Туристская";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6474068745
"10307330035";"Помещение";"78:40:0008341";87;"Договор купли-продажи";"07.2016";"07.2016";3000000,00;34482,76;"1/2";"Жилое помещение";;;;"Ипотека";;"квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Захарова";"19";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6474068748
