"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"44467030";"Помещение";"78:32:0001717";75,6;"Договор купли-продажи";"02.2017";"02.2017";3200000,00;42328,04;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40262565000";"Г.Санкт-Петербург";;;;"Угловой";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6487155624
"512269000";"Помещение";"78:42:1850206";88,9;"Договор купли-продажи";"01.2017";"02.2017";6000000,00;67491,56;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";;"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6487155644
"126436038";"Помещение";"78:34:0004151";34,8;"Договор купли-продажи";"02.2017";"02.2017";700000,00;20114,94;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Яхтенная";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6487155661
"77747033";"Помещение";"78:06:0002208";30,8;"Договор купли-продажи";"02.2017";"02.2017";2400000,00;77922,08;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Наличная";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6487155694
"93520041";"Помещение";"78:15:0843302";45,5;"Договор купли-продажи";"02.2017";"02.2017";1286503,00;28274,79;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солдата Корзуна";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6487155697
"10376264032";"Помещение";"78:11:0618101";101,6;"Договор купли-продажи";"12.2015";"02.2017";285000,00;2805,12;"136/3295";"Жилое помещение";;;;"Ипотека";;"Квартира";"40278565000";"Г.Санкт-Петербург";;;;"Окраинная";"1";5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6487155712
"608101039";"Помещение";"78:36:0005533";45,7;"Договор купли-продажи";"02.2017";"02.2017";3400000,00;74398,25;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6487155717
"148622032";"Помещение";"78:11:0006107";214,6;"Договор купли-продажи";"02.2017";"02.2017";800000,00;3727,87;"12/134";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Наставников";"13";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6487155727
"52608002";"Помещение";"78:37:0017115";48,4;"Договор купли-продажи";"01.2017";"02.2017";3700000,00;76446,28;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Оборонная";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6487155734
"70968036";"Помещение";"78:13:0007426";61,8;"Договор купли-продажи";"02.2017";"02.2017";4350000,00;70388,35;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Купчинская";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6487155739
"10514041038";"Помещение";"78:34:0412102";55,7;"Договор купли-продажи";"02.2017";"02.2017";4400000,00;78994,61;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Долгоозёрная";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6487155741
"55095036";"Помещение";"78:13:0007436";50,6;"Договор купли-продажи";"02.2016";"02.2016";900000,00;17786,56;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6487155744
"10490360038";"Помещение";"78:34:0415601";27,3;"Договор купли-продажи";"01.2017";"02.2017";2480000,00;90842,49;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Туристская";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6487155750
"265710000";"Помещение";"78:42:0018219";61,6;"Договор купли-продажи";"01.2017";"02.2017";4148800,00;67350,65;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;;"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6487155754
"10456845040";"Земельный участок";"78:12:0006351";796;"Договор купли-продажи";"02.2017";"02.2017";1190000,00;1494,97;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"40000000000";"Г.Санкт-Петербург";;;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6487155777
