"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"90386041";"Помещение";"78:15:0008408";41,3;"Договор купли-продажи";"06.2016";"07.2016";3315000,00;80266,34;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6474587873
"56951030";"Помещение";"78:32:0001157";92,9;"Договор купли-продажи";"07.2016";"07.2016";2600000,00;27987,08;"1/2";"Жилое помещение";;;;"Ипотека";46,5;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Канала Грибоедова";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6474587883
"94628036";"Помещение";"78:13:0007417";45,1;"Договор купли-продажи";"07.2016";"07.2016";1500000,00;33259,42;;"Жилое помещение";;;;"Ипотека";28,2;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Славы";"6";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6474587886
"10700451034";"Помещение";"78:14:0007610";112,7;"Договор купли-продажи";"07.2016";"07.2016";11595000,00;102883,76;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Варшавская";"11";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6474587891
"41536040";"Помещение";"78:12:0007204";33,3;"Договор купли-продажи";"07.2016";"07.2016";1946000,00;58438,44;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285564000";"Г.Санкт-Петербург";;;;"Шлиссельбургский";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6474587894
"4742034";"Здание";"78:14:0007691";1575,6;"Договор купли-продажи";"05.2016";"07.2016";600000000,00;380807,31;;"Нежилое помещение";;"2";;"Ипотека";;"компрессорная, склад оболочек";"40000000000";"Г.Санкт-Петербург";;;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6474587901
"94892034";"Помещение";"78:14:0007682";30,2;"Договор купли-продажи";"07.2016";"07.2016";2080000,00;68874,17;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Орджоникидзе";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6474587920
"10700451034";"Помещение";"78:14:0007610";112,7;"Договор купли-продажи";"07.2016";"07.2016";11595000,00;102883,76;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Варшавская";"11";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6474587921
"586987039";"Помещение";"78:36:0005522";60,3;"Договор купли-продажи";"05.2016";"07.2016";807783,60;13396,08;"3/43";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Придорожная";"5";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6474587929
"89076037";"Помещение";"78:10:0513701";30,5;"Договор купли-продажи";"07.2016";"07.2016";1600000,00;52459,02;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Кондратьевский";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6474587932
