"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"30734041";"Помещение";"78:15:0008442";43,5;"Договор купли-продажи";"12.2016";"01.2017";2800000,00;64367,82;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40276562000";"Г.Санкт-Петербург";;;;"Генерала Симоняка";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6486441222
"10395345034";"Помещение";"78:14:0007687";107,1;"Договор купли-продажи";"01.2017";"01.2017";6640000,00;61998,13;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"5-й Предпортовый";"18";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6486441262
"477920000";"Помещение";"78:40:0008339";76,9;"Договор купли-продажи";"11.2016";"01.2017";4450000,00;57867,36;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"18";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486441267
"175192038";"Помещение";"78:34:0410901";62,9;"Договор купли-продажи";"12.2016";"01.2017";3200000,00;50874,40;"2/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Котельникова";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6486441308
"18508006";"Земельный участок";"78:42:1810907";667;"Договор купли-продажи";"12.2016";"01.2017";6000000,00;8995,50;"89/667";"Земли населенных пунктов";;;;"Ипотека";;;"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Московское";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2017";"Не указан";"Не указан";"Сделка";6486441350
"155936041";"Помещение";"78:15:0008056";87,1;"Договор купли-продажи";"12.2016";"01.2017";2550000,00;29276,69;"2/8";"Жилое помещение";;;;"Ипотека";;"Квартира";"40276565000";"Г.Санкт-Петербург";;;;"Метростроевцев";"1";6;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6486441356
"61491032";"Помещение";"78:11:0006081";35,5;"Договор купли-продажи";"08.2013";"05.2016";1777000,00;50056,34;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Бестужевская";"6";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6486441361
"35660034";"Помещение";"78:14:0007681";30,8;"Договор купли-продажи";"12.2016";"01.2017";1990000,00;64610,39;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Звёздная";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6486441368
"52678042";"Помещение";"78:31:0001625";170,5;"Договор купли-продажи";"01.2017";"01.2017";1854054,00;10874,22;"30/135";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298566000";"Г.Санкт-Петербург";;;;"Правды";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6486441374
"164142032";"Помещение";"78:11:0006081";82,4;"Договор купли-продажи";"06.2016";"06.2016";3000000,00;36407,77;"4/10";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Бестужевская";"8";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6486441400
"11217153032";"Помещение";"78:11:0005608";92,9;"Договор купли-продажи";"03.2016";"04.2016";3205000,00;34499,46;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"13";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6486441437
"60739032";"Помещение";"78:11:0006081";45;"Договор купли-продажи";"07.2016";"07.2016";2590000,00;57555,56;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Бестужевская";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6486441446
"68977032";"Помещение";"78:11:0006102";66,9;"Договор купли-продажи";"07.2016";"08.2016";3400000,00;50822,12;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Индустриальный";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6486441464
"106124000";"Помещение";"78:32:0001665";24,8;"Договор купли-продажи";"10.2016";"01.2017";500000,00;20161,29;;"Нежилое помещение";;;;"Ипотека";;"Нежилое помещение";"40262566000";"Г.Санкт-Петербург";;;;"Дровяная";"6";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486441469
"360400000";"Помещение";"78:36:0013101";59,3;"Договор купли-продажи";"11.2016";"01.2017";4100000,00;69139,97;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;;"Фёдора Абрамова";"19";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486441470
"330682000";"Помещение";"78:36:0013101";41,3;"Договор купли-продажи";"11.2016";"01.2017";2557000,00;61912,83;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;"Парголово";"Заречная";"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6486441509
"119546037";"Помещение";"78:10:0005146";49,8;"Договор купли-продажи";"03.2016";"01.2017";1422234,00;28558,92;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Пискарёвский";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6486441517
