"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"157070036";"Помещение";"78:13:0007423";64,8;"Договор купли-продажи";"03.2016";"03.2016";850000,00;13117,28;"1/2";"Жилое помещение";;;;"Ипотека";42,5;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6470107924
"109335042";"Помещение";"78:31:0001266";150,9;"Договор купли-продажи";"03.2016";"03.2016";1150000,00;7620,94;"21/100";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298563000";"Г.Санкт-Петербург";;;;"Литейный";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6470107926
"127597034";"Помещение";"78:14:0007679";46,2;"Договор купли-продажи";"03.2016";"03.2016";1445000,00;31277,06;"199/300";"Жилое помещение";;;;"Ипотека";30,3;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6470107929
"73281033";"Помещение";"78:06:0002119";70,7;"Договор купли-продажи";"03.2016";"03.2016";3083026,00;43607,16;"1/5";"Жилое помещение";;;;"Ипотека";40,4;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Наличная";"1";5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6470107931
"20297000";"Помещение";"78:40:0008339";56;"Договор купли-продажи";"01.2016";"03.2016";4800000,00;85714,29;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"15";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6470107939
"69728041";"Помещение";"78:15:0843402";36,6;"Договор купли-продажи";"03.2016";"03.2016";2000000,00;54644,81;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Жукова";"14";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6470107940
"50174036";"Помещение";"78:13:0007414";29,1;"Договор купли-продажи";"03.2016";"03.2016";2586000,00;88865,98;;"Жилое помещение";;;;"Ипотека";15,2;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Димитрова";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6470107942
"10912853040";"Помещение";"78:12:0006355";65,9;"Договор купли-продажи";"03.2016";"03.2016";1129000,00;17132,02;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"21";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470107943
"10363608036";"Помещение";"78:13:0007432";45,5;"Договор купли-продажи";"03.2016";"03.2016";500000,00;10989,01;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6470107949
"11604117040";"Помещение";"78:12:0007203";60,3;"Договор купли-продажи";"02.2016";"03.2016";3741111,00;62041,64;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285564000";"Г.Санкт-Петербург";;;;"Рыбацкий";"22";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6470107965
"10416526035";"Помещение";"78:40:0008341";46,3;"Договор купли-продажи";"03.2016";"03.2016";3720000,00;80345,57;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ленинский";"14";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6470107979
"11131469038";"Помещение";"78:34:0004281";39,2;"Договор купли-продажи";"03.2016";"03.2016";2750000,00;70153,06;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Парашютная";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470107980
"71027036";"Помещение";"78:13:0007426";28,8;"Договор купли-продажи";"03.2016";"03.2016";1300000,00;45138,89;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Купчинская";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6470107981
"135333034";"Помещение";"78:14:0767804";46,5;"Договор купли-продажи";"02.2016";"03.2016";2739000,00;58903,23;;"Жилое помещение";;;;"Ипотека";29,4;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Витебский";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6470107984
"10367180036";"Помещение";"78:13:0007432";50,2;"Договор купли-продажи";"03.2016";"03.2016";1287881,93;25655,02;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6470107990
"69728041";"Помещение";"78:15:0843402";36,6;"Договор купли-продажи";"03.2016";"03.2016";2000000,00;54644,81;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Жукова";"14";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6470107994
"184846038";"Помещение";"78:34:0004004";41,5;"Договор купли-продажи";"03.2016";"03.2016";2100000,00;50602,41;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270563000";"Г.Санкт-Петербург";;;;"Матроса Железняка";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6470107996
"105488042";"Помещение";"78:31:0001047";62,5;"Договор купли-продажи";"03.2016";"03.2016";1690000,00;27040,00;"25/74";"Жилое помещение";;;;"Ипотека";37,3;"Квартира";"40298566000";"Г.Санкт-Петербург";;;;"Кузнечный";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6470108000
"27736037";"Помещение";"78:10:0005215";62,7;"Договор купли-продажи";"03.2016";"03.2016";4000000,00;63795,85;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40273562000";"Г.Санкт-Петербург";;;;"Академика Байкова";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6470108006
"36148034";"Помещение";"78:14:0007685";64,1;"Договор купли-продажи";"02.2016";"03.2016";1700000,00;26521,06;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Звёздная";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1997";"Не указан";"Не указан";"Сделка";6470108007
"10128498006";"Помещение";"78:42:0015106";62;"Договор купли-продажи";"03.2016";"03.2016";3587000,00;57854,84;;"Жилое помещение";;;;"Ипотека";36,4;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Пушкинская";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6470108016
"179956036";"Помещение";"78:13:0007420";56,9;"Договор купли-продажи";"03.2016";"03.2016";1100000,00;19332,16;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40296565000";"Г.Санкт-Петербург";;;;"Малая Бухарестская";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6470108020
"10416526035";"Помещение";"78:40:0008341";46,3;"Договор купли-продажи";"03.2016";"03.2016";3720000,00;80345,57;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ленинский";"14";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6470108021
"73938002";"Помещение";"78:37:1711404";45,6;"Договор купли-продажи";"03.2016";"03.2016";1105000,00;24232,46;"10/28";"Жилое помещение";;;;"Ипотека";28,3;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Трудящихся";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6470108022
"629202039";"Помещение";"78:36:0005519";67,1;"Договор купли-продажи";"03.2016";"03.2016";600000,00;8941,88;"18/49";"Жилое помещение";;;;"Ипотека";49,5;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6470108040
"66770036";"Помещение";"78:13:0007438";62,5;"Договор купли-продажи";"03.2016";"03.2016";2130000,00;34080,00;"1/2";"Жилое помещение";;;;"Ипотека";39,8;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Купчинская";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6470108041
"67755002";"Помещение";"78:37:0017116";45,2;"Договор купли-продажи";"03.2016";"03.2016";1800000,00;39823,01;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Тверская";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6470108048
"129973034";"Помещение";"78:14:0007613";54,1;"Договор купли-продажи";"03.2016";"03.2016";3600000,00;66543,44;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470108049
"41590034";"Помещение";"78:14:0007645";44,5;"Договор купли-продажи";"03.2016";"03.2016";3000000,00;67415,73;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Космонавтов";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6470108053
"108197034";"Помещение";"78:14:0007548";30,7;"Договор купли-продажи";"03.2016";"03.2016";1780000,00;57980,46;;"Жилое помещение";;;;"Ипотека";16,4;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Варшавская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6470108066
"36772002";"Помещение";"78:37:0017116";38,6;"Договор купли-продажи";"03.2016";"03.2016";450000,00;11658,03;;"Жилое помещение";;;;"Ипотека";19,9;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Ижорского Батальона";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6470108068
"98476033";"Помещение";"78:06:0002056";150,4;"Договор купли-продажи";"09.2013";"03.2016";11000000,00;73138,30;;"Нежилое помещение";;;;"Ипотека";;"Нежилое помещение";"40000000000";"Г.Санкт-Петербург";;;;;"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6470108076
"92428040";"Помещение";"78:12:0007144";58,5;"Договор купли-продажи";"03.2016";"03.2016";1100000,00;18803,42;"2/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Красных Зорь";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6470108081
