"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"134866035";"Помещение";"78:40:0008307";51,8;"Договор купли-продажи";"03.2017";"04.2017";2950000,00;56949,81;"13/31";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6488842598
"603061039";"Помещение";"78:36:0005527";60,2;"Договор купли-продажи";"03.2017";"03.2017";3893026,00;64668,21;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40265564000";"Г.Санкт-Петербург";;;;"Руднева";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6488842599
"589328039";"Помещение";"78:36:0005506";46,7;"Договор купли-продажи";"03.2017";"04.2017";2888000,00;61841,54;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"8";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6488842602
"10254060006";"Помещение";"78:42:0018304";62,3;"Договор купли-продажи";"03.2017";"03.2017";2800000,00;44943,82;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Ростовская (Славянка)";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6488842612
"165556034";"Помещение";"78:14:0764501";50,8;"Договор купли-продажи";"05.2011";"03.2017";1400000,00;27559,06;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Космонавтов";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488842613
"165556034";"Помещение";"78:14:0764501";50,8;"Договор купли-продажи";"03.2017";"03.2017";5023200,00;98881,89;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Космонавтов";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488842614
"10257847006";"Помещение";"78:42:0018304";80,8;"Договор купли-продажи";"03.2017";"03.2017";4400000,00;54455,45;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Ростовская (Славянка)";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6488842615
"214904000";"Помещение";"78:42:0018209";43,5;"Договор купли-продажи";"03.2017";"03.2017";1520000,00;34942,53;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Архитектора Данини";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488842623
"10309468035";"Помещение";"78:40:0008341";63,7;"Договор купли-продажи";"04.2015";"03.2017";4200000,00;65934,07;"1/4";"Жилое помещение";;;;"Ипотека";;"квартира";"40000000000";"Г.Санкт-Петербург";;;;"Доблести";"9";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488842626
"749030";"Здание";"78:32:0001632";168,5;"Договор купли-продажи";"02.2017";"03.2017";10500000,00;62314,54;;"Нежилое помещение";;"3";;"Ипотека";;"Нежилое здание";"40262564000";"Г.Санкт-Петербург";;;;"Верейская";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6488842628
"65371037";"Помещение";"78:10:0005212";30,6;"Договор купли-продажи";"03.2017";"03.2017";1750000,00;57189,54;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Гражданский";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6488842633
"10691545036";"Помещение";"78:13:0007410";59,9;"Договор купли-продажи";"03.2017";"04.2017";2250000,00;37562,60;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Белградская";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6488842638
"223719040";"Помещение";"78:12:0634301";42,3;"Договор купли-продажи";"03.2017";"04.2017";2740000,00;64775,41;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40285565000";"Г.Санкт-Петербург";;;;"Народная";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6488842657
"527792000";"Помещение";"78:32:0007503";61,8;"Договор купли-продажи";"03.2017";"04.2017";7922478,00;128195,44;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"16";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6488842660
"168896040";"Помещение";"78:12:0006313";65,6;"Договор купли-продажи";"03.2017";"03.2017";453026,00;6905,88;"27/42";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солидарности";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6488842665
"67001030";"Помещение";"78:32:0001651";54,7;"Договор купли-продажи";"03.2017";"03.2017";1050000,00;19195,61;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40262565000";"Г.Санкт-Петербург";;;;"9-я Красноармейская";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6488842676
"169121035";"Помещение";"78:40:0008312";90,1;"Договор купли-продажи";"03.2017";"04.2017";7818000,00;86770,26;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6488842680
"10504618042";"Помещение";"78:31:0001123";166,5;"Договор купли-продажи";"03.2017";"03.2017";7400000,00;44444,44;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40298564000";"Г.Санкт-Петербург";;;;"Виленский";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6488842684
"175653038";"Помещение";"78:34:0410902";43,8;"Договор купли-продажи";"03.2017";"04.2017";1320000,00;30136,99;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;;"Котельникова";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6488842687
"45440037";"Помещение";"78:10:0005216";49,2;"Договор купли-продажи";"03.2017";"04.2017";1000000,00;20325,20;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40273562000";"Г.Санкт-Петербург";;;;"Академика Константинова";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6488842694
"57522034";"Помещение";"78:14:0007547";44;"Договор купли-продажи";"03.2017";"03.2017";2190000,00;49772,73;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Кубинская";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6488842700
"121491036";"Помещение";"78:13:0007412";51,6;"Договор купли-продажи";"03.2017";"03.2017";1400000,00;27131,78;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Турку";"8";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6488842704
"34442032";"Помещение";"78:11:0006111";48,1;"Договор купли-продажи";"03.2017";"03.2017";2500000,00;51975,05;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"15";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6488842707
"122595041";"Помещение";"78:15:0008041";29,2;"Договор купли-продажи";"03.2017";"04.2017";2180000,00;74657,53;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6488842709
"39054037";"Помещение";"78:10:0005212";44,1;"Договор купли-продажи";"08.2016";"08.2016";2750000,00;62358,28;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40273562000";"Г.Санкт-Петербург";;;;"Вавиловых";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6488842710
