"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"451674000";"Земельный участок";"78:40:0008501";21946;"Договор купли-продажи";"09.2013";"09.2016";105078951,00;4788,07;;"Земли населенных пунктов";"Для сельскохозяйственного производства";;;"Ипотека";;;"40000000000";"Г.Санкт-Петербург";;;;;;41;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6489226222
"95074031";"Помещение";"78:07:0003151";146,1;"Договор купли-продажи";"04.2017";"04.2017";7500000,00;51334,70;;"Нежилое помещение";;;;"Ипотека";;"помещение";"40000000000";"Г.Санкт-Петербург";;;;"Малый П.С.";"этаж подвальный";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6489226224
"59361038";"Помещение";"78:34:0413401";38,6;"Договор купли-продажи";"04.2017";"04.2017";1500000,00;38860,10;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Авиаконструкторов";"8";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6489226234
"452203000";"Земельный участок";"78:40:0008501";109443;"Договор купли-продажи";"09.2013";"09.2016";105078951,00;960,12;;"Земли населенных пунктов";"Для сельскохозяйственного производства";;;"Ипотека";;;"40000000000";"Г.Санкт-Петербург";;;;;;41;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6489226239
"156770034";"Помещение";"78:14:0007691";37,7;"Договор купли-продажи";"03.2017";"04.2017";3000000,00;79575,60;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"17";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6489226241
"11063639039";"Помещение";"78:36:0013101";69,8;"Договор купли-продажи";"04.2017";"04.2017";3950000,00;56590,26;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;;"Фёдора Абрамова";"18";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6489226256
"82937033";"Помещение";"78:06:0002202";56,7;"Договор купли-продажи";"03.2017";"04.2017";3700000,00;65255,73;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Новосмоленская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6489226257
"149486037";"Помещение";"78:10:0005547";45,9;"Договор купли-продажи";"03.2017";"04.2017";2960000,00;64488,02;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Суздальский";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6489226266
"151869000";"Земельный участок";"78:40:0008501";38045;"Договор купли-продажи";"09.2013";"02.2016";1625000000,00;42712,58;;"Земли населенных пунктов";"Для размещения объектов, характерных для населенных пунктов";;;"Ипотека";;;"40000000000";"Г.Санкт-Петербург";;;;;;60;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6489226268
"11265328034";"Помещение";"78:14:0007642";68;"Договор купли-продажи";"08.2016";"09.2016";5482000,00;80617,65;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Московский";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6489226273
"251989038";"Помещение";"78:34:0415902";39,8;"Договор купли-продажи";"04.2017";"04.2017";2700000,00;67839,20;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Оптиков";"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6489226285
"493574000";"Здание";"78:42:1810203";150;"Договор купли-продажи";"04.2017";"04.2017";5500000,00;36666,67;;"Жилое помещение";;"2";;"Ипотека";;"жилой дом";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6489226309
"180305037";"Помещение";"78:10:0005217";48,6;"Договор купли-продажи";"01.2017";"04.2017";2628375,00;54081,79;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Науки";"5";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6489226318
"90819037";"Помещение";"78:10:0005539";33,6;"Договор купли-продажи";"03.2017";"04.2017";2370000,00;70535,71;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Культуры";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6489226341
"10738328036";"Помещение";"78:13:0007417";67,7;"Договор купли-продажи";"03.2017";"04.2017";3750000,00;55391,43;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Софийская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6489226393
"10637809038";"Помещение";"78:34:0413601";40,4;"Договор купли-продажи";"03.2017";"04.2017";2000000,00;49504,95;;"Жилое помещение";;;;"Ипотека";;"квартира";"40000000000";"Г.Санкт-Петербург";;;;"Гаккелевская";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6489226394
"11043760039";"Помещение";"78:36:0013101";32,2;"Договор купли-продажи";"03.2017";"04.2017";2750000,00;85403,73;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;"Парголово";"Михаила Дудина";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6489226395
"578598039";"Помещение";"78:36:0535201";36,2;"Договор купли-продажи";"03.2017";"04.2017";2700000,00;74585,64;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265562000";"Г.Санкт-Петербург";;;;"Орбели";"11";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6489226399
"122285034";"Помещение";"78:14:0007645";45,1;"Договор купли-продажи";"03.2017";"04.2017";1900000,00;42128,60;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6489226407
"80484035";"Помещение";"78:40:0008307";38,7;"Договор купли-продажи";"12.2016";"12.2016";300000,00;7751,94;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Захарова";"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6489226423
"10136174006";"Помещение";"78:42:0018238";50,7;"Договор купли-продажи";"05.2016";"06.2016";1000000,00;19723,87;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Красносельское";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6489226425
"62804002";"Помещение";"78:37:0017114";46,1;"Договор купли-продажи";"04.2017";"04.2017";1102000,00;23904,56;"18/28";"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Раумская";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6489226429
"153885037";"Помещение";"78:10:0005544";74;"Договор купли-продажи";"04.2017";"04.2017";2775000,00;37500,00;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40273567000";"Г.Санкт-Петербург";;;;"Тимуровская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6489226430
"220200038";"Помещение";"78:34:0004281";86,2;"Договор купли-продажи";"03.2017";"04.2017";5400000,00;62645,01;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Комендантский";"23";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6489226438
"268984038";"Помещение";"78:34:0415902";84,6;"Договор купли-продажи";"04.2017";"04.2017";7500000,00;88652,48;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Лыжный";"16";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6489226440
"90822033";"Помещение";"78:06:0002208";31,3;"Договор купли-продажи";"03.2017";"04.2017";2000000,00;63897,76;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40263563000";"Г.Санкт-Петербург";;;;"Шевченко";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6489226444
