"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"121834036";"Помещение";"78:13:0007412";74,5;"Договор купли-продажи";"01.2016";"01.2016";3000000,00;40268,46;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Турку";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6454118804
"145064036";"Помещение";"78:13:0007407";30,6;"Договор купли-продажи";"01.2016";"01.2016";2100000,00;68627,45;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6454125332
"41551042";"Помещение";"78:31:0001189";170,6;"Договор купли-продажи";"12.2015";"01.2016";1750000,00;10257,91;"36/110";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298563000";"Г.Санкт-Петербург";;;;"Моховая";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6454125489
"178743038";"Помещение";"78:34:0004004";35,9;"Договор купли-продажи";"01.2016";"01.2016";1900000,00;52924,79;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270563000";"Г.Санкт-Петербург";;;;"Ланское";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6454140887
"36148036";"Помещение";"78:13:0007406";46,3;"Договор купли-продажи";"12.2015";"01.2016";2850000,00;61555,08;;"Жилое помещение";;;;"Ипотека";30,23;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Бухарестская";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6454147089
"252943038";"Помещение";"78:34:0412301";30,9;"Договор купли-продажи";"01.2016";"01.2016";755000,00;24433,66;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270566000";"Г.Санкт-Петербург";;;;"Мартыновская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6454150066
"73131034";"Помещение";"78:14:0007543";43,7;"Договор купли-продажи";"01.2016";"01.2016";3315000,00;75858,12;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Благодатная";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6454165069
"226874038";"Помещение";"78:34:0004103";210,7;"Договор купли-продажи";"12.2015";"01.2016";1027000,00;4874,23;"12/130";"Жилое помещение";;;;"Ипотека";;"Квартира";"40270564000";"Г.Санкт-Петербург";;;"Ленинград";"Аэродромная";"9";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6454195018
"74857036";"Помещение";"78:13:0007437";51;"Договор купли-продажи";"01.2016";"01.2016";2091645,40;41012,65;"1/3";"Жилое помещение";;;;"Ипотека";30,8;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Олеко Дундича";"8";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6454206267
"68949006";"Помещение";"78:42:0018209";48;"Договор купли-продажи";"12.2015";"01.2016";2500000,00;52083,33;"2/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Малиновская";"2-3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6454207863
