"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"114045040";"Помещение";"78:12:0006344";45,7;"Договор купли-продажи";"08.2016";"09.2016";503000,00;11006,56;"1/2";"Жилое помещение";;;;"Ипотека";28,22;"Квартира";"40285565000";"Г.Санкт-Петербург";;;;"Народная";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6476414538
"53337036";"Помещение";"78:13:0007426";44,3;"Договор купли-продажи";"08.2016";"09.2016";1200000,00;27088,04;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дунайский";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6476414539
"93542033";"Помещение";"78:06:0002021";15;"Договор купли-продажи";"07.2014";"09.2016";930000,00;62000,00;;"Нежилое помещение";;;;"Ипотека";;"Нежилое помещение";"40000000000";"Г.Санкт-Петербург";;;;"4-я В.О.";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6476414542
"75606030";"Помещение";"78:32:0001614";66,5;"Договор купли-продажи";"09.2016";"09.2016";4900000,00;73684,21;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262565000";"Г.Санкт-Петербург";;;;"Троицкий";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6476414549
"10670565035";"Помещение";"78:40:0008454";87,6;"Договор купли-продажи";"09.2016";"09.2016";3000000,00;34246,58;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40279564000";"Г.Санкт-Петербург";;;;"Добровольцев";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6476414553
"136951032";"Помещение";"78:11:0006057";81,5;"Договор купли-продажи";"09.2016";"09.2016";1360000,00;16687,12;"17/56";"Жилое помещение";;;;"Ипотека";;"Квартира";"40278562000";"Г.Санкт-Петербург";;;;"Синявинская";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6476414556
"258710000";"Помещение";"78:40:0008341";38,1;"Договор купли-продажи";"06.2016";"09.2016";3088000,00;81049,87;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Казакова";"18";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6476414561
"176284000";"Помещение";"78:14:0007525";73;"Договор купли-продажи";"08.2016";"09.2016";5350000,00;73287,67;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40284561000";"Г.Санкт-Петербург";;;;"Киевская";"10";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6476414562
"677818039";"Помещение";"78:36:0005519";54,9;"Договор купли-продажи";"09.2016";"09.2016";1900000,00;34608,38;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"10";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6476414569
"10905883040";"Помещение";"78:12:0006355";35,7;"Договор купли-продажи";"08.2016";"09.2016";600000,00;16806,72;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"17";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6476414593
