"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"59202038";"Помещение";"78:34:0412701";55;"Договор купли-продажи";"06.2016";"06.2016";4100000,00;74545,45;;"Жилое помещение";;;;"Ипотека";32,5;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Авиаконструкторов";"6";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6473724378
"241634000";"Здание";"78:40:0867707";140;"Договор купли-продажи";"06.2016";"06.2016";3400000,00;24285,71;;"Жилое помещение";;"2";;"Ипотека";;"Жилой дом";"40284561000";"Г.Санкт-Петербург";;;;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724382
"29523002";"Помещение";"78:37:1711201";50,1;"Договор купли-продажи";"06.2016";"06.2016";1182387,00;23600,54;"1/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Заводской";"6";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6473724385
"76008032";"Помещение";"78:11:0006031";30,7;"Договор купли-продажи";"06.2016";"06.2016";2470000,00;80456,03;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Казанская";"5";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6473724393
"11593653040";"Помещение";"78:12:0006355";56,8;"Договор купли-продажи";"06.2016";"07.2016";1763683,18;31050,76;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"21";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6473724396
"72675040";"Помещение";"78:12:0006308";69,9;"Договор купли-продажи";"03.2016";"03.2016";453026,00;6481,06;"5/52";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Дыбенко";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6473724403
"10452697037";"Помещение";"78:10:0005548";35,4;"Договор купли-продажи";"06.2016";"06.2016";3000000,00;84745,76;;"Жилое помещение";;;;"Ипотека";;"квартира";"40273567000";"Г.Санкт-Петербург";;;;"Учительская";"25";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6473724418
"232275038";"Помещение";"78:34:0004222";74,7;"Договор купли-продажи";"06.2016";"06.2016";2650000,00;35475,23;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270567000";"Г.Санкт-Петербург";;;;"Главная";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6473724430
"106652032";"Помещение";"78:11:0006107";60,7;"Договор купли-продажи";"06.2016";"06.2016";3148773,00;51874,35;"1/5";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Наставников";"11";5;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6473724441
"163044000";"Здание";"78:34:0004427";269;"Договор купли-продажи";"07.2014";"06.2016";5500000,00;20446,10;"1/2";"Жилое помещение";;"2";;"Ипотека";;"жилой дом";"40270555000";"Г.Санкт-Петербург";;;"Лисий Нос";"Приморское";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724450
"89221035";"Помещение";"78:40:0008454";30,4;"Договор купли-продажи";"06.2016";"06.2016";1935000,00;63651,32;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40279564000";"Г.Санкт-Петербург";;;;"Партизана Германа";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6473724452
"633875039";"Помещение";"78:36:0005533";50,8;"Договор купли-продажи";"06.2016";"06.2016";2100000,00;41338,58;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Художников";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6473724460
"192963040";"Помещение";"78:12:0714902";35,5;"Договор купли-продажи";"06.2016";"06.2016";1890794,00;53261,80;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6473724462
"150118036";"Помещение";"78:13:0007412";48;"Договор купли-продажи";"06.2016";"06.2016";3560000,00;74166,67;"1/2";"Жилое помещение";;;;"Ипотека";31,02;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"8";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1998";"Не указан";"Не указан";"Сделка";6473724469
"114529034";"Помещение";"78:14:0772303";45,3;"Договор купли-продажи";"06.2016";"06.2016";2800000,00;61810,15;;"Жилое помещение";;;;"Ипотека";28,1;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Пулковское";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6473724489
"128921034";"Помещение";"78:14:0761902";63,9;"Договор купли-продажи";"06.2016";"06.2016";10000000,00;156494,52;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40284561000";"Г.Санкт-Петербург";;;;"Яковлевский";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6473724490
"50327030";"Помещение";"78:32:0001631";95,4;"Договор купли-продажи";"06.2016";"06.2016";1400000,00;14675,05;"24/66";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262564000";"Г.Санкт-Петербург";;;;"Верейская";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6473724493
"215338000";"Помещение";"78:40:0008339";54,1;"Договор купли-продажи";"06.2016";"06.2016";3300000,00;60998,15;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"16";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724496
"213919000";"Помещение";"78:06:0002059";26,3;"Договор купли-продажи";"06.2016";"06.2016";1017719,00;38696,54;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Реки Смоленки";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724497
"12496003";"Помещение";"78:34:0000000";57,3;"Договор купли-продажи";"06.2016";"06.2016";1990000,00;34729,49;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40280501000";"Г.Санкт-Петербург";;"Кронштадт";;"Коммунистическая";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6473724498
"62816038";"Помещение";"78:34:0412701";54,9;"Договор купли-продажи";"06.2016";"06.2016";2200000,00;40072,86;;"Жилое помещение";;;;"Ипотека";32,4;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Авиаконструкторов";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6473724506
"50639002";"Помещение";"78:37:0017112";57,6;"Договор купли-продажи";"06.2016";"06.2016";2000000,00;34722,22;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Металлургов";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6473724518
"10595325002";"Помещение";"78:37:1711101";43,4;"Договор купли-продажи";"06.2016";"06.2016";1500000,00;34562,21;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40277501000";"Г.Санкт-Петербург";;"Колпино";;"Павловская";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6473724520
"127184035";"Помещение";"78:40:0008312";63,4;"Договор купли-продажи";"06.2016";"06.2016";1500000,00;23659,31;"1/2";"Жилое помещение";;;;"Ипотека";41,8;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6473724523
"12222254039";"Помещение";"78:36:0013101";37,6;"Договор купли-продажи";"06.2016";"06.2016";2800000,00;74468,09;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40265558000";"Г.Санкт-Петербург";;;;"Фёдора Абрамова";"11";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6473724524
"258788000";"Помещение";"78:40:0008339";39,3;"Договор купли-продажи";"06.2016";"06.2016";3160000,00;80407,12;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724525
"200722037";"Помещение";"78:10:0005537";184,7;"Договор купли-продажи";"06.2016";"06.2016";1350000,00;7309,15;"3/117";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Демьяна Бедного";"5";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6473724540
"163697037";"Помещение";"78:10:0005547";30,7;"Договор купли-продажи";"06.2016";"06.2016";1600000,00;52117,26;;"Жилое помещение";;;;"Ипотека";17,9;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ушинского";"7";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6473724544
"129820035";"Помещение";"78:40:0008304";507,7;"Договор купли-продажи";"06.2016";"06.2016";2358257,00;4644,98;"35/300";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Казакова";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6473724560
"106091038";"Помещение";"78:34:0413101";39,1;"Договор купли-продажи";"05.2016";"06.2016";2142672,00;54799,80;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Стародеревенская";"10";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6473724561
"200722037";"Помещение";"78:10:0005537";184,7;"Договор купли-продажи";"06.2016";"06.2016";1350000,00;7309,15;"3/117";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Демьяна Бедного";"5";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6473724571
"11411091035";"Помещение";"78:40:0009092";86,1;"Договор купли-продажи";"06.2016";"06.2016";3888000,00;45156,79;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40279501000";"Г.Санкт-Петербург";;"Красное Село";;;"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6473724574
"84766040";"Помещение";"78:12:0007145";50,2;"Договор купли-продажи";"06.2016";"06.2016";1000000,00;19920,32;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Кибальчича";"1";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6473724587
"193693037";"Помещение";"78:10:0005549";79,4;"Договор купли-продажи";"05.2016";"05.2016";500000,00;6297,23;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Ушинского";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6473724595
"149795040";"Помещение";"78:12:0007201";72,3;"Договор купли-продажи";"06.2016";"06.2016";2850000,00;39419,09;;"Жилое помещение";;;;"Ипотека";43,5;"Квартира";"40285564000";"Г.Санкт-Петербург";;;;"Рыбацкий";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6473724602
"33510006";"Помещение";"78:42:0018101";43,7;"Договор купли-продажи";"06.2016";"06.2016";2500000,00;57208,24;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294501000";"Г.Санкт-Петербург";;"Пушкин";;"Детскосельский";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6473724604
"101289890004";"Помещение";"78:38:0011501";103,1;"Договор купли-продажи";"06.2016";"06.2016";2416000,00;23433,56;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40281520000";"Г.Санкт-Петербург";;"Сестрорецк";;;"4, этаж мансардный";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6473724608
"10181410006";"Помещение";"78:42:1832202";34,2;"Договор купли-продажи";"06.2016";"06.2016";1147730,45;33559,37;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";;"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6473724609
"44606040";"Помещение";"78:12:0630402";35,8;"Договор купли-продажи";"06.2016";"06.2016";2150000,00;60055,87;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40285566000";"Г.Санкт-Петербург";;;;"Шотмана";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6473724611
"50903032";"Помещение";"78:11:0006110";38,5;"Договор купли-продажи";"06.2016";"06.2016";1200000,00;31168,83;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Энтузиастов";"7";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6473724614
"144894037";"Помещение";"78:10:0005211";62,2;"Договор купли-продажи";"06.2016";"06.2016";3220000,00;51768,49;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Софьи Ковалевской";"13";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6473724620
"220937040";"Помещение";"78:12:0006314";61,3;"Договор купли-продажи";"06.2016";"06.2016";1300000,00;21207,18;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солидарности";"13";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6473724623
"236755000";"Помещение";"78:14:0007517";97;"Договор купли-продажи";"06.2016";"06.2016";2500000,00;25773,20;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40284561000";"Г.Санкт-Петербург";;;;"Заставская";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724633
"10186126006";"Помещение";"78:42:0018304";38,3;"Договор купли-продажи";"06.2016";"06.2016";2170000,00;56657,96;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Ростовская (Славянка)";"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6473724656
"113694035";"Помещение";"78:40:0008480";42,7;"Договор купли-продажи";"06.2016";"06.2016";1494079,00;34990,14;;"Жилое помещение";;;;"Ипотека";27,9;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6473724660
"168988040";"Помещение";"78:12:0006313";44,3;"Договор купли-продажи";"05.2016";"06.2016";969000,00;21873,59;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Солидарности";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6473724665
"55862042";"Помещение";"78:31:0001051";110,5;"Договор купли-продажи";"06.2016";"06.2016";2000000,00;18099,55;"27/69";"Жилое помещение";;;;"Ипотека";69,2;"Квартира";"40298566000";"Г.Санкт-Петербург";;;;"Разъезжая";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6473724667
"29019041";"Помещение";"78:15:0008210";56,1;"Договор купли-продажи";"06.2016";"06.2016";3600000,00;64171,12;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40276564000";"Г.Санкт-Петербург";;;;"Автовская";"2";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6473724675
"137134035";"Помещение";"78:40:0008319";70,2;"Договор купли-продажи";"06.2016";"06.2016";2000000,00;28490,03;;"Жилое помещение";;;;"Ипотека";42,5;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Доблести";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6473724680
"215338000";"Помещение";"78:40:0008339";54,1;"Договор купли-продажи";"06.2016";"06.2016";3300000,00;60998,15;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"16";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2016";"Не указан";"Не указан";"Сделка";6473724690
"10258397006";"Помещение";"78:42:0018304";79,2;"Договор купли-продажи";"06.2016";"06.2016";2300000,00;29040,40;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Ростовская (Славянка)";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6473724691
"11110723038";"Помещение";"78:34:0004155";80;"Договор купли-продажи";"06.2016";"06.2016";8549000,00;106862,50;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40270562000";"Г.Санкт-Петербург";;;;"Туристская";"15";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6473724701
