"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"130885037";"Помещение";"78:10:0005225";46,3;"Договор купли-продажи";"07.2016";"08.2016";2680000,00;57883,37;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Руставели";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6474865886
"629165039";"Помещение";"78:36:0005519";66,9;"Договор купли-продажи";"07.2016";"08.2016";2150000,00;32137,52;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Художников";"9";4;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2013";"Не указан";"Не указан";"Сделка";6474865887
"80089034";"Помещение";"78:14:0007664";96,6;"Договор купли-продажи";"07.2016";"08.2016";3500000,00;36231,88;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Московский";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6474865888
"52376037";"Помещение";"78:10:0005547";32,8;"Договор купли-продажи";"08.2016";"08.2016";2576000,00;78536,59;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Гражданский";"12";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6474865890
"88220038";"Помещение";"78:34:0004221";67;"Договор купли-продажи";"08.2016";"08.2016";2000000,00;29850,75;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6474865892
"147554036";"Помещение";"78:13:0007410";37,1;"Договор купли-продажи";"07.2016";"08.2016";4000000,00;107816,71;"1/2";"Жилое помещение";;;;"Ипотека";21,09;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"13";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6474865893
"10914996037";"Помещение";"78:10:0005212";44;"Договор купли-продажи";"07.2016";"08.2016";2500000,00;56818,18;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Науки";"9";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6474865906
"65436041";"Помещение";"78:15:0830101";64;"Договор купли-продажи";"05.2016";"05.2016";3800000,00;59375,00;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Маршала Жукова";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6474865910
"133760040";"Помещение";"78:12:0006310";32,6;"Договор купли-продажи";"07.2016";"08.2016";1200000,00;36809,82;;"Жилое помещение";;;;"Ипотека";18,62;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Подвойского";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6474865928
"118833040";"Помещение";"78:12:0006341";61,4;"Договор купли-продажи";"07.2016";"08.2016";1400000,00;22801,30;"28/44";"Жилое помещение";;;;"Ипотека";44;"Квартира";"40285565000";"Г.Санкт-Петербург";;;;"Новосёлов";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6474865940
