"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"113248042";"Помещение";"78:31:0001691";95;"Договор купли-продажи";"12.2015";"01.2016";1550000,00;16315,79;;"Жилое помещение";;;;"Ипотека";52,4;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Марата";"4";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6468628104
"10248436006";"Помещение";"78:42:0018304";45,3;"Договор купли-продажи";"02.2016";"02.2016";2200000,00;48565,12;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40294559000";"Г.Санкт-Петербург";;;"Шушары";"Изборская (Славянка)";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6468628250
"174609035";"Помещение";"78:40:0008341";90;"Договор купли-продажи";"02.2016";"02.2016";3400000,00;37777,78;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Доблести";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6468628332
"130891037";"Помещение";"78:10:0005225";46,6;"Договор купли-продажи";"02.2016";"02.2016";1200000,00;25751,07;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Руставели";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6468628467
"149215032";"Помещение";"78:11:0600302";193,9;"Договор купли-продажи";"02.2016";"02.2016";1275000,00;6575,55;"17/117";"Жилое помещение";;;;"Ипотека";;"Квартира";"40278563000";"Г.Санкт-Петербург";;;;"Заневский";"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6468628615
"71431042";"Помещение";"78:31:0001691";94,6;"Договор купли-продажи";"02.2016";"02.2016";500000,00;5285,41;"13/64";"Жилое помещение";;;;"Ипотека";;"Квартира";"40298566000";"Г.Санкт-Петербург";;;;"Социалистическая";"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6468628772
"121767040";"Помещение";"78:12:0007166";41,7;"Договор купли-продажи";"02.2016";"02.2016";1500000,00;35971,22;;"Жилое помещение";;;;"Ипотека";27,8;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"2";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2004";"Не указан";"Не указан";"Сделка";6468628846
"10700991034";"Помещение";"78:14:0007610";46,1;"Договор купли-продажи";"01.2016";"02.2016";2800000,00;60737,53;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Варшавская";"13";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2014";"Не указан";"Не указан";"Сделка";6468628924
"742700039";"Помещение";"78:36:0005519";67;"Договор купли-продажи";"06.2015";"02.2016";2700000,00;40298,51;;"Жилое помещение";;;;"Ипотека";40,2;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"13";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2008";"Не указан";"Не указан";"Сделка";6468629217
"11598719040";"Помещение";"78:12:0006355";86,4;"Договор купли-продажи";"02.2016";"02.2016";949971,00;10995,03;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6468629452
"176794035";"Помещение";"78:40:0009064";83,8;"Договор купли-продажи";"02.2016";"02.2016";700000,00;8353,22;"18/52";"Жилое помещение";;;;"Ипотека";;"Квартира";"40279501000";"Г.Санкт-Петербург";;"Красное Село";;"Театральная";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6468629472
"63346030";"Помещение";"78:32:0001157";61,4;"Договор купли-продажи";"02.2016";"02.2016";1255000,00;20439,74;"7/38";"Жилое помещение";;;;"Ипотека";;"Квартира";"40262561000";"Г.Санкт-Петербург";;;;"Канонерская";"6";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6468629615
"184454038";"Помещение";"78:34:0004003";44,8;"Договор купли-продажи";"02.2016";"02.2016";2700000,00;60267,86;;"Жилое помещение";;;;"Ипотека";28,5;"Квартира";"40270563000";"Г.Санкт-Петербург";;;;"Матроса Железняка";"3";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6468629678
