"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"142041036";"Помещение";"78:13:0007407";74,6;"Договор купли-продажи";"08.2016";"08.2016";1700000,00;22788,20;;"Жилое помещение";;;;"Ипотека";55,2;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Будапештская";"3";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6475479937
"200043038";"Помещение";"78:34:0004152";36,6;"Договор купли-продажи";"07.2016";"08.2016";650000,00;17759,56;"1/3";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;"Ленинград";"Богатырский";"13";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2006";"Не указан";"Не указан";"Сделка";6475479954
"136675035";"Помещение";"78:40:0008319";51,8;"Договор купли-продажи";"08.2016";"08.2016";2500000,00;48262,55;"1/4";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Доблести";"2";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2007";"Не указан";"Не указан";"Сделка";6475479971
"68720038";"Помещение";"78:34:0004003";55,7;"Договор купли-продажи";"08.2016";"08.2016";600000,00;10771,99;"9/38";"Жилое помещение";;;;"Ипотека";38,2;"Квартира";"40270563000";"Г.Санкт-Петербург";;;;"Омская";"1";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6475479975
"11596924040";"Помещение";"78:12:0006355";27,5;"Договор купли-продажи";"08.2016";"08.2016";2193000,00;79745,45;;"Жилое помещение";;;;"Ипотека";;"квартира";"40000000000";"Г.Санкт-Петербург";;;;;"8";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2015";"Не указан";"Не указан";"Сделка";6475479981
"83411032";"Помещение";"78:11:0006104";59,4;"Договор купли-продажи";"08.2016";"08.2016";1650000,00;27777,78;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Косыгина";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6475480019
"596672039";"Помещение";"78:36:0005524";46,1;"Договор купли-продажи";"08.2016";"08.2016";500000,00;10845,99;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;;"4";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2000";"Не указан";"Не указан";"Сделка";6475480025
"10979788039";"Помещение";"78:36:0501204";337,3;"Договор купли-продажи";"07.2016";"08.2016";799335,00;2369,80;"14/255";"Жилое помещение";;;;"Ипотека";;"квартира";"40000000000";"Г.Санкт-Петербург";;;;"Выборгская";"4";3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2012";"Не указан";"Не указан";"Сделка";6475480033
"38236033";"Помещение";"78:06:0002201";51,6;"Договор купли-продажи";"08.2016";"08.2016";2600000,00;50387,60;"1/2";"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Кораблестроителей";"7";2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6475480047
"48332040";"Помещение";"78:12:0006308";33,3;"Договор купли-продажи";"08.2016";"08.2016";2635000,00;79129,13;;"Жилое помещение";;;;"Ипотека";;"Квартира";"40000000000";"Г.Санкт-Петербург";;;;"Искровский";"5";1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2002";"Не указан";"Не указан";"Сделка";6475480051
